course_code,course_name,credit_hours,department,gen_ed_requirements,description
ANTH 408,Human Evolutionary Anatomy,3 or 4,ANTH,,"Comprehensive, comparative study of musculoskeletal anatomy in primates, focusing on functional and adaptive changes that have occurred in the masticatory apparatus, facial skeleton, and locomotor systems of New World monkeys, Old World monkeys, apes, and humans. Relationships between morphology, ecology, and behavior are discussed, applied to the fossil record, and used to address current issues in human evolution. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 443 or ANTH 440 or ANTH 456 or a course in human or comparative vertebrate anatomy."
ANTH 411,Research Methods in Socio-Cultural Anthropology,3 or 4,ANTH,,"Exploration of qualitative forms of research used by sociocultural anthropologists when conducting field research. Emphasis is on formulating research questions, research design, and application of these ethnographic methods to a substantial research project. 3 undergraduate hours. 4 graduate hours."
ANTH 414,Writing Ethnography,3 or 4,ANTH,Advanced Composition,"In this seminar we address the theoretical divide between the humanities and the social sciences, the unique authority of the scholar/author, and the invisibility of the reader in producing scholarly texts. Focusing on the ways in which scholars are also authors, we explore current debates by reading a selection of contemporary anthropological texts (and a few precursors) that experiment boldly with how ethnography is written. Students will experiment with several ethnographic writing styles. This course is designed for advanced undergraduate anthropology students and graduate students in cultural anthropology, writing studies, and education. 3 undergraduate hours. 4 graduate hours. Prerequisite: Undergraduate students should have already taken at least one 300-level course in cultural anthropology, and graduate students in cultural anthropology, writing studies, and/or education. Other students should contact the instructor."
ANTH 416,Anthropology of Music,3,ANTH,,Same as MUS 416 . See MUS 416 .
ANTH 420,Case Studies Global Heritage,3 or 4,ANTH,,"Cultural heritage encompasses major domains of social, economic, political, religious and environmental practice and policy-making under today's conditions of globalization. Students will critically examine cultural heritage case studies from around the world. 3 undergraduate hours. 4 graduate hours."
ANTH 421,Social Organization,3 or 4,ANTH,,"Introduction to anthropological concepts of social organization and structure; considers kinship theory, descent and alliance systems, social stratification, nonkin association, social networks, group identification and boundaries, structural-functional interpretations of society, and the meaning of social or cultural structure. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 230 or consent of instructor."
ANTH 423,Economic Anthropology,3 or 4,ANTH,,Covers the emergence of economic anthropology as a subdiscipline; considers various definitions of economics with their implications for the study of human society; emphasizes the relationship between social organization and economic life from the perspectives of classical studies in anthropology and their contemporary interpretations. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 230 .
ANTH 430,The History of Anthropology,4,ANTH,,"Provides a selective overview of the history and historiography of anthropology in the 19th and 20th centuries. The class moves chronologically and topically, paying particular attention to the social, institutional, and historical contexts of paradigmatic shifts, the interconnections between various national traditions, and the negotiations of the discipline's boundaries. 4 undergraduate hours. 4 graduate hours. Prerequisite: Graduate or senior standing in anthropology, or consent of instructor."
ANTH 432,Genes and Behavior,3,ANTH,,"Same as IB 432 , NEUR 432 , and PSYC 432 . See IB 432 ."
ANTH 433,Communication and Culture,3 or 4,ANTH,,Same as CMN 433 . See CMN 433 .
ANTH 435,The Neandertal Debate,3 or 4,ANTH,,A detailed investigation of the origin and biological adaptations of late archaic humans and the emergence of modern humans. Explores the practice and validity to using skeletal anatomy to interpret the behavior of past populations using evolutionary and comparative approaches. This course will interpret Neandertal biology and anatomy with particular emphasis on its relevance for theories about the origin and evolution of our species. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 240 .
ANTH 436,Biogeography,3,ANTH,,"Same as ESE 439 , GGIS 436 , IB 439 and NRES 441 . See IB 439 ."
ANTH 437,Primate Behav Endocrinology,3 or 4,ANTH,,"Introduction to behavioral endocrinology, focusing on primate, especially human behaviors. Examines the relationship between hormones and behavior using an evolutionary and comparative approach, considering both how hormones influences behavior and how behavioral interactions regulate endocrine physiology. The course covers basic endocrine system physiology and function, hormonal influences on primate social behaviors such as male and female reproductive behaviors, courtship, parental care, bonding and attachment, as well as aggression and territoriality. Other topics include stress, hormones, and health. 3 undergraduate hours. 4 graduate hours. Prerequisite: IB 150 and ANTH 143 ; or an equivalent course in behavioral ecology, primate behavior, physiology or psychology; or consent of instructor."
ANTH 438,Primate Life History Evolution,3 or 4,ANTH,,"Life history seeks to explain why differences exist in the pathways that organisms follow from conception to death. Examination of the diversity in the evolution of primate (including human) life histories. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 102 , ANTH 143 , ANTH 240 , ANTH 243 or equivalent."
ANTH 440,Human Paleontology,3 or 4,ANTH,,Principles of evolution and a survey of human evolution from the early primates through the Pleistocene epoch; emphasis on evolutionary theory as applied to humans and interpretation of the fossil record. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 240 or consent of instructor.
ANTH 441,Human Genetics,3 or 4,ANTH,,Principles of human genetics; anthropological aspects of race and race formation; and hereditary and environmental factors in the biological variation of modern humans. Same as ANSC 441 . 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 102 or equivalent.
ANTH 443,Primate Form and Behavior,3 or 4,ANTH,,"Survey of primate social behavior and the classification, morphology, and distribution of living and extinct species; emphasis on interrelationships among behavior, biology, and ecology. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 240 or consent of instructor."
ANTH 444,Methods in Bioanthropology,3 or 4,ANTH,,"Supervised participation in biological anthropology research projects; techniques, methods, and procedures discussed and practiced under actual field or laboratory working conditions. Normally taken concurrently with ANTH 445 . 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Usually offered in the summer session only. Prerequisite: ANTH 240 or equivalent; consent of instructor."
ANTH 445,Research in Bioanthropology,3 or 4,ANTH,,"Analysis, interpretation, evaluation, and organization of field and laboratory data in biological anthropology; preparation of written reports on research. May be taken concurrently with ANTH 444 or subsequently. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Usually offered in the summer session only. Prerequisite: ANTH 240 or equivalent; consent of instructor."
ANTH 447,Advanced Skeletal Biology,3,ANTH,,"Human skeletal and dental remains form the basis for research in both bioarchaeology and forensic anthropology. We will examine the bases for making inferences about individual skeletons and past populations, with particular emphasis placed on paleodemography, reconstruction of diet, paleopathology, and biological distance analysis. 3 undergraduate hours. 3 graduate hours. Prerequisite: ANTH 347 ."
ANTH 448,The Prehistory of Africa,3 or 4,ANTH,,The study of cultural development in Africa from the appearance of hominids to the time of European domination. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 220 or consent of instructor.
ANTH 449,North American Archeology,3 or 4,ANTH,,"Methods, techniques, and results of archaeology in North America; focuses on divergent approaches to the regional archaeology of North America; and surveys and synthesizes the archaeology of the subcontinent. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 220 or consent of instructor."
ANTH 450,Zooarchaeology,3 or 4,ANTH,,"Zooarchaeology is the study of the many ways that animals fit into past human societies—including diet, economy, and ideology—through the analysis of animal remains (bones, teeth, and shell) recovered from archaeological sites. Given the broad range of ways that animals were involved in past human life, and the ubiquity of faunal remains in the archaeological record, faunal analysis is a method suitable for addressing many kinds of archaeological and anthropological research questions. This course will provide students with a practical working knowledge of basic laboratory identification and quantification techniques, and provide a framework for the interpretation of archaeological faunal assemblages. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 220 or graduate standing in Anthropology."
ANTH 451,Archaeological Surveying,3 or 4,ANTH,,"Familiarization with methods used in the location and recording of archaeological sites, including techniques of mapping especially adapted to the needs of archaeology; attention given to means of presenting results and interpreting data derived from this work; and work both in the field and in the laboratory. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 220 or consent of instructor."
ANTH 452,Stone Tool Technology Analysis,3 or 4,ANTH,,"Lecture and laboratory on the principles and techniques of stone and bone artifact manufacture, identification, classification, metrical analysis, interpretation, and integration with other classes of archaeological evidence. Emphasis on the use of lithics to test human behavioral models. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 220 ."
ANTH 453,Landscape Archaeology,3 or 4,ANTH,,"The use of archaeological, documentary, and oral history evidence to study and interpret the ways past peoples shaped their landscapes through the deployment of cultural and social practices, and the ways, in turn, that such people were influenced, motivated, or constrained by their natural surroundings. Same as LA 454 . 3 undergraduate hours. 4 graduate hours. Prerequisite: Introductory archaeology course, such as ANTH 220 , or introductory landscape architecture course, or equivalent with instructor's permission."
ANTH 454,Archaeological Field School,3 or 4,ANTH,,"Participation in archaeological excavations; techniques, methods, and procedures discussed and practiced under actual working conditions. Normally taken concurrently with ANTH 455 . Additional fees may apply. See Class Schedule. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms if topics vary. Prerequisite: Consent of instructor."
ANTH 455,Lab Analysis in Archaeology,3 or 4,ANTH,,"Laboratory work including processing, classifying, dating, interpretation, evaluation, and preparation of written reports of archaeological research. May be taken concurrently with ANTH 454 or subsequently. 3 undergraduate hours. 4 graduate hours. May be repeated in separate semesters, if topics vary. Prerequisite: ANTH 102 or consent of instructor."
ANTH 456,Contemporary Archaeology,3 or 4,ANTH,,"Considers recent work in the emergent field of Contemporary Archaeology. Archaeological approaches can make visible the human-scale ramifications of contemporary problems like forced migration, homelessness, inequality, waste, and ruination. Focusing on the present, however, also introduces new methodological and theoretical challenges. Researchers must navigate global connectivities, ephemeral contexts, a diversity of data, and involvements with at-risk communities. The nature of this work raises questions about heterotemporality, researcher positionality, and opportunities for political action. 3 undergraduate hours. 4 graduate hours."
ANTH 459,The Ancient Maya,3,ANTH,,"Introduces the ancestral Maya of the southern lowlands in Central America and focuses on the rise and fall of kings (c. 100 BCE-900 CE), water management, religion, sustainable practices, ritual and politics, impacts of the colonial period, and the Maya today. Excavation, iconography, inscriptions and ethnographic data are used to reveal past life ways as well as how past lessons are relevant today. 3 undergraduate hours. 3 graduate hours."
ANTH 460,Heritage Management,3 or 4,ANTH,,"Detailed examination of the theoretical and practical issues of archaeological heritage management. Focusing on the legal, environmental, ethical, social, political, educational, and touristic aspects of the management of ancient sites for their continued sustainability. Same as LA 460 and RST 459 . 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 220 and at least one ANTH 300- or 400-level archaeological area course."
ANTH 461,Hist of Archaeological Theory,3 or 4,ANTH,,Examines the prominent theories in archaeology from its inception to the present day and does so within the context of general developments in anthropological thought. Provides a foundation for graduate students and a capstone for major emphasizing archaeology. 3 undergraduate hours. 4 graduate hours. Prerequisite: For undergraduates: ANTH 220 ; anthropology major with focus on archaeology; senior standing or consent of the instructor. For graduate students: enrollment in ANTH 430 during the same term advised.
ANTH 462,Museum Theory and Practice,3 or 4,ANTH,,A foundational introduction to museology consisting of a critical examination of the history and social life of museums and how museums have been studied by scholars in a range of academic disciplines. Includes visits to campus and local museums. Same as ARTH 462 and LA 472 . 3 undergraduate hours. 4 graduate hours.
ANTH 463,Religion and Society,4,ANTH,,"Course focuses on theoretical issues raised by religion. Does religion address itself essentially to intellectual, emotional or pragmatic issues? Is religion created by rulers, clerics or worshippers? How does the individual experience religion, and (how) can s/he reshape it? In exploring these and related issues, we will read the writings of German, French, and British social scientists of the past 150 years as well as work by contemporary anthropologists. Theoretical perspectives covered include symbolic, processual, materialist, structural-functionalist, structuralist, and postmodernist approaches. Same as REL 463 . 4 undergraduate hours. 4 graduate hours. Prerequisite: A 200-level course in cultural anthropology or consent of instructor; or graduate standing."
ANTH 464,Theories & Theologies of Liberation,3 or 4,ANTH,,"Same as AAS 464 , GWS 464 , and REL 464 . See GWS 464 ."
ANTH 466,"Class, Culture and Society",4,ANTH,,Social hierarchies in a variety of cultural contexts; industrial societies and the process of industrialization; looks at other social forms for the purposes of comparison. A variety of social theories will be discussed and compared through ethnographic studies. 4 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 103 and ANTH 230 or graduate standing.
ANTH 467,Cultures of Africa,3 or 4,ANTH,,"Culture and social organization in traditional African societies with emphasis on the politics, kinship, and religion of a small sample of societies illustrating the main cultural variations found in sub-Saharan Africa; some discussion of ecological factors and ethnic group relations in precolonial times. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 230 or consent of instructor."
ANTH 468,Primate Microbial Seminar,3 or 4,ANTH,,"This bioanthropology research seminar is focused on interdisciplinary projects for undergraduate and graduate students. Students will create individualized projects related to biological anthropology, primatology, ecology, microbe-host interactions, evolution, endocrinology, ontogeny or closely-related areas. Additional emphasis will be placed on developing presentation skills and scientific paper writing. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms. Prerequisite: ANTH 240 , ANTH 243 or ANTH 443 strongly recommended; permission of instructor."
ANTH 470,Anthropology of Modern China,3 or 4,ANTH,,Same as EALC 470 . See EALC 470 .
ANTH 471,Ethnography through Language,3 or 4,ANTH,,"Overview of theoretical perspectives and methodologies in linguistic anthropology, including sociolinguistics, ethnography of communication, performance and poetics, discursive practices, and structural analyses. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 230 or ANTH 270 and preferably both."
ANTH 472,"Border Latina, Latino Cultures",3 or 4,ANTH,,"Explores and examines the production of U. S. Latina/Latino identities as instances of international, cultural, historical, and social border crossings. In both regional and global contexts, we will analyze the ways in which Mexican American, Cuban American and Puerto Rican identities have been shaped by colonial relations vis-a-vis Spain and by postcolonial conditions vis-a-vis the United States. Same as LLS 472 . 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 103 , and ANTH 259 or ANTH 359."
ANTH 477,Pottery Analysis,3 or 4,ANTH,,"Introduction to the theories and techniques of pottery analysis for archaeologists. In addition to presentation and discussion of the major literature, there is hands-on practice making, drawing, breaking and analyzing pottery. 3 undergraduate hours. 4 graduate hours. Prerequisite: ANTH 220 or consent of instructor."
ANTH 479,"Race, Medicine, and Society",3 or 4,ANTH,,Same as AAS 479 and LLS 479 . See LLS 479 .
ANTH 481,Andean Ethnography,3 or 4,ANTH,,"Survey of Andean cultures at the time of the Spanish conquest, of their subsequent history, and of modern Indian culture in the Andean countries. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ANTH 182 , ANTH 230 or consent of instructor."
ANTH 485,Anthropology of Policing,3 or 4,ANTH,,"Introduction to the use of anthropological theories and methods in policing studies. Includes comparative historical survey of the diverse sources of power and authority which are bundled into the modern idea of ""police power,"" considers the range of authors contributing to contemporary debates about policing in anthropology, and supports students focusing on both theoretical and applied questions. 3 undergraduate hours. 4 graduate hours."
ANTH 488,Modern Europe,4,ANTH,,"The anthropology of Europe sheds light on contemporary social challenges including: political economy and neoliberalism; immigration and citizenship; the politics of race and gender; human rights and law; and the future of democracy. Using ethnographic case studies, the course will interrogate modern Europe as an ideological, cultural, political, and economic project."
ANTH 494,Honors Senior Thesis I,2 to 4,ANTH,,The first of a two-term individual study and research project for those students who are candidates for departmental distinction in anthropology. 2 to 4 undergraduate hours. No graduate credit. Prerequisite: Senior standing; 3.25 GPA in anthropology; and consent of instructor. May not be taken concurrently with ANTH 390 .
ANTH 495,Honors Senior Thesis II,2 to 4,ANTH,,The second of a two-term individual study and research project for those students who are candidates for departmental distinction in anthropology. 2 to 4 undergraduate hours. No graduate credit. Prerequisite: Senior standing; 3.25 GPA in anthropology; and consent of instructor. May not be taken concurrently with ANTH 390 .
ANTH 496,Individual Field Research,3 or 4,ANTH,,"Supervised participation in field research in ethnography, ethnology, linguistics, or social anthropology; techniques, methods, and procedures discussed and practiced under actual working conditions. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Usually offered in the summer session only. Prerequisite: ANTH 230 ; some knowledge of the language of the area concerned; consent of instructor. Normally taken concurrently with ANTH 497 ."
ANTH 497,Individual Field Data Analysis,3 or 4,ANTH,,"Analysis, interpretation, evaluation, and organization of field data in cultural anthropology; preparation of written reports on research in ethnography, ethnology, linguistics, or social anthropology. May be taken concurrently with ANTH 496 or subsequently. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Prerequisite: ANTH 230 ; some knowledge of the language of the area concerned; consent of instructor."
ANTH 498,Senior Capstone Seminar,3,ANTH,,"A guided independent research seminar for Anthropology majors normally taken during the Fall of the senior year. Students may select to conduct significant and original research in any of the four sub-fields of anthropology or combine interdisciplinary interests. Working closely with the course instructors and with additional guidance from a chosen anthropology faculty advisor, student will develop a research topic of their choice, identify significant research questions, before collecting and analyzing their field data. 3 undergraduate hours. No graduate credit."
ANTH 499,Topics in Anthropology,4,ANTH,,Research seminar on specialized topics in anthropology. 4 undergraduate hours. 4 graduate hours. May be repeated. Prerequisite: Consent of instructor.
ANTH 503,Seminar on States & Governance,4,ANTH,,"Explores theories of the state and governance through an anthropological perspective. Theoretical issues covered will include political economy, sovereignty, biopolitics, and empire across a range of social settings will attend to issues of race, class, gender, and sexuality. May be repeated in separate terms up to 8 hours, if topics vary. Prerequisite: Grad Students only."
ANTH 504,Colonialism & Postcolonialism,4,ANTH,,Course examines the history of colonialism and post-colonialism in anthropological perspective. The relations of history and anthropology are explored through ethnographic studies that problematize historical memory. Theoretical works about colonized people will be debated and discussed. Same as HIST 519 . Prerequisite: Graduate standing.
ANTH 511,Research Proposal Seminar,4,ANTH,,"This seminar guides graduate students in designing a doctoral research project and writing a grant proposal. Focus is on developing a cogent theoretical framework, articulating significance of the project, identifying appropriate research methods, and considering ethical issues. Seminar format allows regular feedback from peers to clarify and hone ideas. Prerequisite: Graduate standing in anthropology or consent of instructor."
ANTH 512,Language in Culture I,4,ANTH,,"This first of our two core theoretical courses in linguistic anthropology pays particular attention to language in culture. Examines the historical development of the field and its debates, and its relationships with socio-cultural anthropology. Develops theoretical and critical analytical skills needed in contemporary ethnographic research. Same as LING 512 . Approved for both letter and S/U grading. Prerequisite: Graduate standing."
ANTH 514,Seminar in Cognitive Science,2 or 4,ANTH,,"Same as PSYC 514 , CS 549 , EPSY 551 , LING 570 , PHIL 514 . See PSYC 514 ."
ANTH 515,Seminar in Anthropology,2 or 4,ANTH,,Analysis of selected topics of special interest in anthropology. May be repeated to a maximum of 8 hours in the same or subsequent semesters.
ANTH 518,Language in Culture II,4,ANTH,,"Part II of the core theoretical seminar in linguistic anthropology. Continues examination of historical developments in the sub-field and its debates, and relationships with socio-cultural anthropology. Develops theoretical and critical analytical skills needed in contemporary ethnographic research. Same as LING 518 . Prerequisite: Graduate Standing."
ANTH 523,Dynamic Embodiment,4,ANTH,,"Examines anthropological theories and methods for understanding systems of body movement and performance in cultural contexts. Explores the study of everyday skills as well as the expressive complexities of dances, gestural systems, sacred and secular ritual, sign languages, sports, theater, and martial arts. Prerequisite: Graduate standing."
ANTH 532,Dissertation Writing Seminar,4,ANTH,,"Through reading style handbooks, theoretical works on the nature of writing, and published dissertations in anthropology, as well as completing specific dissertation writing assignments, this course provides a forum for advanced doctoral students to outline and complete substantial work on their doctoral thesis. The class format is a workshop in which every student circulates dissertation chapters for discussion by the instructor and other class members. Prerequisite: Students must have completed all requirements for the Ph.D. in anthropology but the dissertation, and they must have completed their doctoral fieldwork."
ANTH 540,Seminar in Bioanthropology,4,ANTH,,"Seminar designed to involve students in the theoretical and methodological approaches to problem areas in physical anthropology. May be repeated. Prerequisite: ANTH 440 , ANTH 441 , or ANTH 443 ; consent of instructor."
ANTH 552,Res Prob in Archaeology,4,ANTH,,"Seminar oriented to current research problems in archaeology, designed to acquaint students with theoretical and methodological aspects of particular problems and to develop a critical perspective archaeological research. May be repeated. Prerequisite: Consent of instructor."
ANTH 555,The Archaeology of Complexity,4,ANTH,,"Examines patterns of behavior archaeologists associate with complex societies and seeks to understand if and how these behaviors generate and/or reflect cultural complexity; theoretical literature and case studies discussed. Major topics include chiefdoms, settlement pattern analysis, and ideology. Prerequisite: Graduate student standing."
ANTH 557,Social Construction of Space,4,ANTH,,"Consideration of anthropological, archaeological, and related disciplinary perspectives on space, place, landscape, the built environment, and architecture. Coursework encompasses critical review of major theoretical literature and case studies of ancient and modern societies. Same as LA 562 . Prerequisite: Consent of instructor."
ANTH 558,Key Issues in Heritage Studies,4,ANTH,,"Engages critical issues in contemporary heritage studies such as the politicized UNESCO World Heritage system, heritage-based domestic and international conflicts, management of sites of trauma, contested heritage, heritage tourism, historic urban centers, heritage futures, the production of identity, post-conflict heritage, heritage branding, repatriation and reparation, landscape and memory, and intangible cultural heritage. Bodies of literature produced by key CHS (Critical Heritage Studies) scholars are analyzed."
ANTH 560,Anthropology and Law,3 or 4,ANTH,,"Introduction to the field of legal anthropology. Addresses anthropological theories of the nature of law and disputes, examines related studies of legal structures in non-Western cultures, and considers the uses of anthropology in studying facets of our own legal system. Same as LAW 678 . 4 graduate hours. 3 professional hours. Prerequisite: Consent of instructor."
ANTH 561,Archaeological Theory,4,ANTH,,"Contemporary theory in archaeology. Different theoretical approaches are examined by critically analyzing seminal literature within the contexts of paradigmatic shifts in archaeology and general developments in the discipline of anthropology, focuses on materiality and corporality. Prerequisite: ANTH 461 or consent of instructor."
ANTH 565,Race and Cultural Critique,4,ANTH,,"Same as AAS 561 , AFRO 531 , GWS 561 , and LLS 561 . See AAS 561 ."
ANTH 570,Cultural Aspects of Tourism,4,ANTH,,Same as RST 570 . See RST 570 .
ANTH 589,Readings in Anthropology,2 or 4,ANTH,,"Individual guidance in intensive readings in the literature of one or more subdivisions of the field of anthropology, selected in consultation with the adviser in accordance with the needs and interest of the student. May be repeated in the same or separate semesters as topics vary. Prerequisite: One semester of graduate work in anthropology; consent of advisor."
ANTH 590,Dissertation Readings,4 to 16,ANTH,,Supervised individual investigation or study of a topic not covered by regular courses. The topic selected by the student and the proposed plan of study are approved by the adviser and the staff member who supervises the work. May be repeated in the same term up to 8 G hours if topics vary or in separate terms up to 16 G hours if topics vary. Prerequisite: Consent of instructor.
ANTH 594,Cultural Heritage,2 or 4,ANTH,,Same as LA 594 . See LA 594 .
ANTH 599,Thesis Research,0 to 16,ANTH,,Preparation of theses. Approved for S/U grading only. May be repeated in the same or separate terms if topics vary.
ARAB 150,Lang&Culture of Arab World,3,ARAB,Cultural Studies - Non-West,"Interdisciplinary overview of the major aspects of the contemporary Arab culture. Based on scholarly research, textual resources, media, and literature from both the Arab World and elsewhere, examines the Arab people's historical background; language varieties; literary traditions; and representative social institutions. Same as SAME 150 ."
ARAB 199,Undergraduate Open Seminar,1 to 5,ARAB,,May be repeated.
ARAB 201,Elementary Standard Arabic I,5,ARAB,,Mastery of the Arabic alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the language laboratory is required.
ARAB 202,Elementary Standard Arabic II,5,ARAB,,Continuation of ARAB 201 . Participation in the language laboratory is required. Prerequisite: ARAB 201 .
ARAB 210,Colloquial Arabic I,4,ARAB,,Development of conversational fluency in one of the major colloquial dialects; see Class Schedule for dialect to be taught each term.
ARAB 211,Colloquial Arabic II,4,ARAB,,Continuation of ARAB 210 . Prerequisite: ARAB 210 .
ARAB 403,Intermediate Stand Arabic I,4,ARAB,,Survey of more advanced grammar; emphasis on increasing conversational fluency in the formal noncolloquial style; and reading of prose texts reflecting aspects of Arabic culture. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARAB 202 .
ARAB 404,Intermediate Stand Arabic II,4,ARAB,,Continuation of ARAB 403 . 4 undergraduate hours. 4 graduate hours. Prerequisite: ARAB 403 .
ARAB 405,Advanced Standard Arabic I,3,ARAB,,"Practice to attain conversational fluency in the formal noncolloquial style; introduction to Arabic literature; and readings in social, political, and historic writings. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 404 ."
ARAB 406,Advanced Standard Arabic II,3,ARAB,,Continuation of ARAB 405 . 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 405 .
ARAB 407,Topics Stand Arabic Lang&Lit I,3,ARAB,,"Selected readings from Modern Standard Arabic authors, with a focus on novels, plays, and basic poetry illustrative of Arab cultural issues and advanced level MSA grammar, as well as development of expository writing skills. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 406 ."
ARAB 408,Topics Stand Arabic LangLit II,3,ARAB,,"Continuation of ARAB 407 with increased emphasis on the reading and comprehension of literary texts exemplified in advanced level novels, plays, and poetry, as well as on advanced mastery of expository writing skills. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 407 ."
ARAB 409,Adv Top Stand Arabic LangLit I,3 or 4,ARAB,,"Introduction to Modern Standard Arabic in the professions as documented in selected newspapers, educational radio and TV programs, works of fiction, biographies, anthologies, and professional journals. Students will be introduced to argumentative writing in MSA, expected to make oral presentations, and to write a research paper in their field. 3 undergraduate hours. 4 graduate hours. Prerequisite: ARAB 408 ."
ARAB 410,AdvTop Stand Arabic LangLit II,3 or 4,ARAB,,Continuation of ARAB 409 with increased emphasis on the development of comprehension and writing of professional language. 3 undergraduate hours. 4 graduate hours. Prerequisite: ARAB 409 .
ARAB 412,Business Arabic,3 or 4,ARAB,,"Introduction to Arabic business language as used in basic business settings, including commercial advertisement and business correspondence. Emphasizes language skills that will enable students to conduct job searches and locate job vacancies that match their fields of study and their interests. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms if topics vary to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: ARAB 405 or consent of instructor."
ARAB 413,Arabic-English Translation,3 or 4,ARAB,,"Introduction to translation methodology and the profession of translation, with particular emphasis on the development of Arabic-to-English translation techniques and the acquisition of related knowledge above and beyond language skills. Students will be exposed to a variety of text types from different Arabic-speaking countries and learn to produce quality, professional translations and apply effective strategies to deal with the challenges of fully preserving the meaning of the original text while conveying the appropriate tone (style/register) and paying attention to grammar, mechanics, and audience-specific needs. Same as TRST 413 . 3 undergraduate hours. 4 graduate hours. Prerequisite: Advanced standing in Arabic."
ARAB 490,Readings in Advanced Arabic,3 or 4,ARAB,,"Directed reading course intended to develop an advanced student's facility with the Arabic language through various readings (authors, genres, themes, or other topical studies) and is conducted entirely in the Arabic language. Topics may vary from term to term. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms up to 6 undergraduate hours or 8 graduate hours, if topics vary. Prerequisite: ARAB 410 or consent of instructor."
ARCH 101,Introduction to Architecture,2,ARCH,,"Introduction to architecture, the architectural profession, and its allied fields emphasizing the value of architecture to society and human behavior. Contemporary problems in architectural design, including an overview of building components and systems, sustainability, urbanism, fabrication, history and preservation, health, and social justice."
ARCH 171,Introduction to Design I,3,ARCH,,"The principles of architectural composition including form, space, and order are introduced. Students explore architectural precedents and design conceptualization. Students will apply two- and three-dimensional analog representation through sketching, drawing, analytical diagramming, and physical modeling."
ARCH 172,Introduction to Design II,3,ARCH,,"Principles, concepts and theories of architectural design and their spatial experience are explored. Students are introduced to methods of observation and documentation of the environment and associated activities and behaviors. Students develop techniques for analyzing and designing relationships between programs, people, and places. Prerequisite: ARCH 171 ."
ARCH 199,Undergraduate Open Seminar,1 to 5,ARCH,,May be repeated.
ARCH 200,Construction History,3,ARCH,,"Construction History explores 4500 years of human construction, focusing on materials, engineering, and fabrication. It provides an alternative narrative to traditional architecture, linking economics, industry, labor, engineering, and related disciplines. Lectures cover material typologies, production methods, and how they’ve influenced design, the evolution of building science, and the impact of technology on architectural aesthetics and ethics. The course concludes by examining contemporary design and technology issues. Credit is not given toward graduation for: ARCH 200 and ARCH 403 section CH."
ARCH 210,Introduction to the History of World Architecture,3,ARCH,,"An introduction to the history of World Architecture, Urbanism, and the built environment from pre-history to the present; in addition to examining the formal properties of global architecture, this course explores buildings and cities in their cultural, social, political, and religious contexts. Prerequisite: Sophomore standing or consent of instructor."
ARCH 211,Transformations in African Centered Architecture,3,ARCH,,"Evaluates the development of African design from a multi-disciplinary approach, utilizing key theories from the fields of Art History, Architecture, African Studies, History, Anthropology and Urban Planning. From these perspectives, we will study how culture, traditions, aesthetics, religion, politics, economics and geography shaped and influenced the design and construction of Africa’s past and present built environment. Credit is not given toward graduation for: ARCH 211 and ARCH 490 section ACA."
ARCH 222,Islamic Gardens & Architecture,3,ARCH,Humanities - Hist & Phil; Cultural Studies - Non-West,Same as ARTH 219 and LA 222 . See LA 222 .
